fecha,pais,superficie,idprovincia,municipio,causa,causa_supuesta,time_ctrl,time_ext,personal,medios,tipo,predicted_cluster
2005-02-21,spain,7.23,Madrid,VALDARACETE,accidente,0.0,91,200,25,3,incendio,1
2014-06-26,spain,2.09,Salamanca,SALAMANCA,intencionado,1.0,56,86,9,3,incendio,1
2007-05-09,spain,2.0,Asturias,CANGAS DEL NARCEA,accidente,0.0,145,370,21,2,incendio,1
2005-05-30,spain,4.14,León,VILLAMAÑAN,accidente,1.0,82,83,17,2,incendio,1
2001-05-11,spain,2.0,Ourense,BOBORÁS,intencionado,1.0,50,80,6,1,incendio,1
2006-04-26,spain,2.0,"Coruña, A",ZAS,intencionado,0.0,150,160,11,2,incendio,1
2009-05-20,spain,4.7,Asturias,ALLANDE,intencionado,0.0,161,181,6,2,incendio,1
2003-03-10,spain,1.5,Asturias,RIBADESELLA,desconocido,0.0,339,354,11,3,incendio,1
2015-05-18,spain,1.32,Tarragona,VILA-RODONA,desconocido,0.0,180,285,38,16,incendio,0
2014-02-17,spain,45.0,Cantabria,RIONANSA,intencionado,1.0,500,530,8,0,incendio,1
2009-09-27,spain,1.0,Ourense,XUNQUEIRA DE AMBÍA,intencionado,1.0,89,201,5,1,conato,1
2010-06-03,spain,1.5,Badajoz,MENGABRIL,intencionado,1.0,85,85,8,0,incendio,1
2005-05-28,spain,14.7,Zamora,S JUSTO,intencionado,0.0,240,350,11,1,incendio,1
2009-10-13,spain,13.0,Cáceres,MARCHAGAZ,accidente,1.0,635,3095,111,22,incendio,0
2015-08-25,spain,5.9,Bizkaia,GÜEÑES,reproducido,1.0,135,225,15,2,incendio,1
2014-05-17,spain,3.99,Cantabria,RIONANSA,intencionado,1.0,150,165,7,0,incendio,1
2004-06-19,spain,1.2,Málaga,ALMOGÍA,accidente,1.0,80,400,35,2,incendio,1
2012-03-05,spain,1.5,Lleida,"PONT DE SUERT, EL",intencionado,1.0,238,255,16,3,incendio,1
2010-08-09,spain,6.9,Ourense,CUALEDRO,intencionado,1.0,100,273,22,3,incendio,1
2005-05-06,spain,1.0,Ourense,CASTRO CALDELAS,intencionado,1.0,75,80,5,1,conato,1
2014-06-21,spain,28.29,Lleida,OLIOLA,accidente,0.0,350,1700,152,37,incendio,0
2015-05-16,spain,1.99,"Coruña, A",VAL DO DUBRA,intencionado,1.0,165,240,11,2,incendio,1
2012-02-06,spain,1.38,Zamora,ROBLEDA-CERVANTES,intencionado,0.0,30,60,9,1,incendio,1
2003-09-17,spain,2.5,Burgos,TORRESANDINO,accidente,0.0,90,110,9,3,incendio,1
2008-06-14,spain,6.92,Huelva,VILLANUEVA DE LOS CASTILLEJOS,accidente,0.0,95,135,23,6,incendio,1
2011-12-22,spain,4.0,Cáceres,GATA,intencionado,1.0,315,345,6,1,incendio,1
2002-08-03,spain,49.8,Badajoz,PERALEDA DEL ZAUCEJO,desconocido,0.0,225,485,44,9,incendio,1
2004-04-04,spain,5.0,Asturias,SIERO,accidente,1.0,0,109,3,0,incendio,1
2009-05-06,spain,10.0,Ourense,MANZANEDA,intencionado,0.0,248,261,25,4,incendio,1
2008-02-11,spain,8.0,Asturias,LAVIANA,accidente,0.0,74,89,3,1,incendio,1
2005-02-02,spain,1.0,Huelva,ARACENA,desconocido,0.0,159,224,10,1,conato,1
2006-03-26,spain,4.0,Palencia,OLMOS DE OJEDA,accidente,1.0,150,180,7,1,incendio,1
2008-02-06,spain,6.0,Cantabria,UDÍAS,intencionado,1.0,175,355,23,4,incendio,1
2011-04-01,spain,2.0,Asturias,LANGREO,intencionado,0.0,90,104,3,0,incendio,1
2009-02-21,spain,5.2,Salamanca,BEJAR,accidente,1.0,400,460,14,1,incendio,1
2009-08-19,spain,1.6,Asturias,CANGAS DEL NARCEA,accidente,0.0,143,188,15,5,incendio,1
2002-09-14,spain,1.1,Pontevedra,MONDARIZ,intencionado,1.0,80,125,14,2,incendio,1
2010-05-23,spain,20.0,Asturias,TINEO,intencionado,1.0,870,900,9,6,incendio,1
2013-08-07,spain,1.0,Toledo,MÉNTRIDA,intencionado,0.0,137,345,11,1,conato,1
2011-06-06,spain,1.17,"Coruña, A",LOUSAME,intencionado,1.0,220,371,22,4,incendio,1
2006-04-04,spain,1.0,Asturias,LLANES,desconocido,0.0,0,120,2,1,conato,1
2007-12-20,spain,1.5,Asturias,PILOÑA,desconocido,0.0,0,103,4,1,incendio,1
2001-11-15,spain,4.0,"Coruña, A",FERROL,intencionado,1.0,145,160,9,2,incendio,1
2005-02-17,spain,2.0,Zamora,LOSACIO,intencionado,1.0,150,170,3,0,incendio,1
2003-07-27,spain,2.56,Madrid,SAN AGUSTIN DEL GUADALIX,desconocido,0.0,47,90,33,2,incendio,1
2015-04-21,spain,29.0,Cantabria,"TOJOS, LOS",intencionado,1.0,930,990,8,0,incendio,1
2015-04-02,spain,12.5,León,TORENO,intencionado,1.0,1025,1280,11,3,incendio,1
2006-08-11,spain,4.0,"Coruña, A",TOURO,intencionado,1.0,75,480,15,3,incendio,1
2005-04-30,spain,25.0,Asturias,ALLER,desconocido,0.0,0,292,3,0,incendio,1
2005-11-05,spain,3.0,Alicante/Alacant,COCENTAINA,intencionado,0.0,125,920,67,8,incendio,1
2013-03-21,spain,85.5,Cantabria,"TOJOS, LOS",intencionado,1.0,725,1145,19,1,incendio,1
2010-08-17,spain,1.42,Ourense,"POBRA DE TRIVES, A",intencionado,1.0,99,257,35,9,incendio,1
2002-03-22,spain,40.0,Asturias,BELMONTE DE MIRANDA,desconocido,0.0,684,1888,5,0,incendio,1
2011-09-21,spain,1.87,Ourense,"POBRA DE TRIVES, A",intencionado,1.0,60,199,6,1,incendio,1
